tab_name,surface,species,intent,regime,campaign,ad_group,asset_type,asset_text,cta,pinned,res_score,pm_hoa_score,recommended,keep,notes,status
Deck,Deck,Redwood,Stain & Seal,Professional,Bay Area Deck,Redwood Deck Stain & Seal,HEADLINE,"Redwood Deck Stain & Seal Services","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Premium,Bay Area Deck,Redwood Deck Stain & Seal,HEADLINE,"Premium Redwood Deck Refinishing","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Outcome,Bay Area Deck,Redwood Deck Stain & Seal,HEADLINE,"Protect Natural Redwood Decks From Sun and Moisture","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Professional,Bay Area Deck,Redwood Deck Stain & Seal,HEADLINE,"Professional Redwood Deck Stain and Seal","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Premium,Bay Area Deck,Redwood Deck Stain & Seal,HEADLINE,"Expert Redwood Deck Refinishing in the Bay Area","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Outcome,Bay Area Deck,Redwood Deck Stain & Seal,DESCRIPTION,"Restore the look of your natural Redwood deck with professional stain and seal services designed for Bay Area weather.","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Outcome,Bay Area Deck,Redwood Deck Stain & Seal,DESCRIPTION,"Clean, prep and refinish aging Redwood decks to extend their life and improve curb appeal.","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Redwood,Stain & Seal,Professional,Bay Area Deck,Redwood Deck Stain & Seal,DESCRIPTION,"Request a free estimate for Redwood deck stain and seal work from a licensed, insured exterior wood specialist.","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Repair & Maintenance,Professional,Bay Area Deck,Redwood Deck Repair & Maintenance,HEADLINE,"Redwood Deck Repair and Maintenance","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Repair & Maintenance,Premium,Bay Area Deck,Redwood Deck Repair & Maintenance,HEADLINE,"Premium Redwood Deck Repair Services","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Repair & Maintenance,Outcome,Bay Area Deck,Redwood Deck Repair & Maintenance,HEADLINE,"Fix Dry Rot and Structural Issues in Redwood Decks","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Repair & Maintenance,Outcome,Bay Area Deck,Redwood Deck Repair & Maintenance,DESCRIPTION,"Repair loose boards, dry rot and railings on Redwood decks so they are safe, stable and ready for refinishing.","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Redwood,Repair & Maintenance,Professional,Bay Area Deck,Redwood Deck Repair & Maintenance,DESCRIPTION,"Professional Redwood deck repair and maintenance for Bay Area homes and multi-unit properties.","Request a Free Estimate",H3,3,3,Yes,,,
