Card Name,Notes,List Name,Members,Low (hrs),High (hrs),Actual (hrs),Status,Labels
"Kickoff meeting - align on scope, URLs, timeline","","Phase 1 - Setup","Brent",0.75,1.5,0,"Not Started","High Priority,Setup"
"Confirm LP URL structure with Web developer","/residential/deck/, etc.","Phase 1 - Setup","Brent",0.75,1.5,0,"Not Started","High Priority,Setup,Web"
"Confirm Salesforce field mapping with SFDC dev","Review 03_04_web-php-sfdc-field-contract.md","Phase 1 - Setup","Brent",0.75,2.25,0,"Not Started","High Priority,Setup,Salesforce"
"Verify Google Ads conversion tracking","Confirm existing tracking works","Phase 1 - Setup","Aksha",0.75,1.5,0,"Not Started","High Priority,Setup,Google Ads"
"Create Elementor global components","Reusable across all LPs","Phase 1 - Web Build","Web",3,6,0,"Not Started","High Priority,Web"
"Build estimate request form with hidden UTM fields","Per 02_17_lp-spec.md","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,Form"
"Build LP: /residential/deck/","From 02_08_lp-deck-residential.md","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","Web,Landing Page"
"Build LP: /residential/siding/","From 02_10_lp-siding-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/wood-structures/","","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/pressure/","From 02_12_lp-pressure-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Build LP: /residential/ (catch-all)","From 02_14_lp-exteriorwood-residential.md","Phase 1 - Web Build","Web",1.5,2.25,0,"Not Started","Web,Landing Page"
"Mobile optimization & QA for LPs","Lighthouse 80+ target","Phase 1 - Web Build","Web",1.5,3,0,"Not Started","High Priority,Web,QA"
"Thank-you page setup","","Phase 1 - Web Build","Web",0.75,1.5,0,"Not Started","Web,Landing Page"
"Add/verify custom fields for UTMs","utm_source__c, utm_campaign__c, etc.","Phase 1 - Salesforce","SFDC",0.75,2.25,0,"Not Started","High Priority,Salesforce"
"Add custom fields for surfaces and property type","Multi-select, picklist","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","High Priority,Salesforce"
"Configure PHP handler for web-to-lead","Map form → SFDC fields","Phase 1 - Salesforce","SFDC",1.5,3,0,"Not Started","High Priority,Salesforce"
"Test form submission to lead creation","","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","Salesforce,QA"
"Verify UTM fields populate correctly","","Phase 1 - Salesforce","SFDC",0.75,1.5,0,"Not Started","Salesforce,QA"
