source_layer,ui_section,ui_label,source_field_name,sfdc_object,sfdc_field_api_name,data_type,required,phase_usage,population_logic,notes
utm,,UTM Source,utm_source,Lead,utm_source__c,Text,No,1-3,"Copied from landing page hidden field `utm_source`","e.g. google, meta, etc."
utm,,UTM Medium,utm_medium,Lead,utm_medium__c,Text,No,1-3,"Copied from landing page hidden field `utm_medium`","e.g. cpc, display"
utm,,UTM Campaign,utm_campaign,Lead,utm_campaign__c,Text,Yes (Ads traffic),1-3,"Copied from landing page hidden field `utm_campaign`","Maps to campaign_master_phase*.csv canonical campaign key"
utm,,UTM Ad Group,utm_adgroup,Lead,utm_adgroup__c,Text,No,1-3,"Copied from landing page hidden field `utm_adgroup`","Optional but recommended for granular reporting"
utm,,UTM Term,utm_term,Lead,utm_term__c,Text,No,1-3,"Copied from landing page hidden field `utm_term`","Search keyword or close variant (if available)"
utm,,UTM Content,utm_content,Lead,utm_content__c,Text,No,1-3,"Copied from landing page hidden field `utm_content`","Used to distinguish creatives / tests"
utm,,UTM Geo,utm_geo,Lead,utm_geo__c,Text,Yes (Ads traffic),1-3,"Copied from landing page hidden field `utm_geo`","Expected values: bay_area, fringe"
utm,,UTM Surface,utm_surface,Lead,utm_surface__c,Text,Yes (Ads traffic),1-3,"Copied from landing page hidden field `utm_surface`","Expected: deck, siding, structures, pressure, catch_all"
utm,,UTM Persona,utm_persona,Lead,utm_persona__c,Text,No (Phase 1-2),1-3,"Copied from landing page hidden field `utm_persona`","Primarily used in Phase 3 (residential, commercial)"
utm,,UTM Phase,utm_phase,Lead,utm_phase__c,Text,No,1-3,"Copied from landing page hidden field `utm_phase`","Values: p1, p2, p3 (for diagnostic only)"
utm,,GCLID,gclid,Lead,gclid__c,Text,No,1-3,"Captured from Google Ads auto-tagging (if enabled)","Helps with offline conversion imports"

derived,,Paid Surface (Primary),,Lead,paid_surface_primary__c,Picklist,No,1-3,"Derived from `utm_surface` or `utm_campaign` mapping","Represents what we PAID for; do not override from form"
derived,,Paid Geo,,Lead,paid_geo__c,Picklist,No,1-3,"Derived from `utm_geo` (bay_area / fringe)","Used for performance reporting, not routing"
derived,,Paid Persona,,Lead,paid_persona__c,Picklist,No,3,"Derived from `utm_persona` or campaign naming (residential/commercial)","Phase 1–2 may be null; Phase 3 expected"
derived,,Paid Phase Label,,Lead,paid_phase__c,Picklist,No,1-3,"Derived from `utm_phase` or campaign mapping","Values: Phase 1, Phase 2, Phase 3"

form,Job Site,Street,address_street__input,Lead,address_street__c,Text,Yes,1-3,"Mapped directly from form text field","Stored even if autocomplete is used"
form,Job Site,City,address_city__input,Lead,address_city__c,Text,Yes,1-3,"Mapped directly from form text field","Used later for territory analysis"
form,Job Site,State,address_state__input,Lead,address_state__c,Text,Yes,1-3,"Mapped directly from form text field or dropdown","Expected CA but do not enforce in SFDC"
form,Job Site,Zip,address_postal__input,Lead,address_postal__c,Text,Yes,1-3,"Mapped directly from form text field","Key driver for Bay Area vs Fringe evaluation"

form,Property Type,What is the type of the property?,property_type__input,Lead,property_type__c,Picklist,Yes,1-3,"Residential / Commercial radio value mapped directly","Authoritative for operational persona from Phase 1 onward"

form,Surfaces,What are the surfaces to be addressed?,surfaces_multi__input,Lead,surfaces_multi__c,Multi-picklist,Yes,1-3,"Map checkboxes to: deck; siding; fence_gate; structures; furniture; hardscape; other","Always at least one selected by form validation"
form,Surfaces,Other (please describe),surfaces_other_text__input,Lead,surfaces_other_text__c,Text,No,1-3,"Copied when `Other` is checked","Free-text clarification for unusual surfaces"

form,Siding Details,Additional siding details (required),siding_year_flag__input,Lead,siding_year_flag__c,Picklist,No,1-3,"Radio mapped to: yes_pre_1978, no_post_1978, not_sure","Used for estimator awareness and compliance, not routing"

form,Project Timing,When are you planning to start?,project_timing__input,Lead,project_timing__c,Picklist,Yes,1-3,"Radio mapped to: asap; within_1_month; within_3_months; just_exploring","Useful for pipeline staging and follow-up cadence"

form,Project Description,Additional project description,project_notes__input,Lead,project_notes__c,Text Area,No,1-3,"Copied from multi-line textarea","Estimator context: access, HOA rules, constraints"

form,Contact Info,First name,first_name__input,Lead,first_name__c,Text,Yes,1-3,"Mapped directly","Standard SFDC Lead field or custom if needed"
form,Contact Info,Last name,last_name__input,Lead,last_name__c,Text,Yes,1-3,"Mapped directly","Standard SFDC Lead field or custom if needed"
form,Contact Info,Company name,company_name__input,Lead,company_name__c,Text,No,1-3,"Mapped directly","Used primarily for commercial; optional for all"
form,Contact Info,Job title,job_title__input,Lead,job_title__c,Text,No,1-3,"Mapped directly","Useful for commercial persona (PM, Facilities, etc.)"
form,Contact Info,Phone number for call or text,phone_primary__input,Lead,phone_primary__c,Phone,Yes,1-3,"Mapped directly","Primary contact number"
form,Contact Info,Other phone number,phone_secondary__input,Lead,phone_secondary__c,Phone,No,1-3,"Mapped directly","Backup contact number"
form,Contact Info,Email,email__input,Lead,email__c,Email,Yes,1-3,"Mapped directly","Primary email for proposals & follow-up"

form,Relationship,What is your relationship to this property?,property_relationship__input,Lead,property_relationship__c,Picklist,Yes,1-3,"Radio mapped to: owner_landlord; tenant; property_manager; contractor; realtor; architect","Estimator context only in early phases"

